Study_Hours,Attendance,Previous_Marks,Assignment_Score,Sleep_Hours,Internet_Usage,Extra_Coaching,Pass
7,63,35,38,4,Low,0,0
4,62,90,66,4,High,1,0
8,98,49,78,8,Medium,1,0
5,47,31,70,8,High,0,0
7,93,66,46,4,Medium,1,0
3,96,49,50,9,Low,0,0
7,86,55,80,6,High,0,0
8,76,58,88,8,Low,0,0
5,42,30,68,6,Medium,1,0
4,90,64,84,9,Medium,0,0
8,72,99,70,4,Medium,1,0
8,67,88,68,9,Low,0,0
3,86,98,42,8,Medium,1,0
6,47,62,93,5,Low,1,0
5,73,80,40,4,High,0,0
2,74,41,48,7,Medium,1,0
8,71,49,40,6,Medium,0,0
6,63,82,75,9,Medium,0,0
2,53,72,74,4,High,0,0
5,71,79,30,9,Medium,0,0
1,95,58,69,4,Low,0,0
6,85,86,48,8,Low,1,0
9,82,68,90,8,Medium,0,0
1,55,85,41,8,Medium,1,0
3,43,72,90,9,High,1,0
7,91,79,62,7,High,0,0
4,76,52,74,8,High,1,0
9,93,73,98,4,Medium,0,0
3,60,67,37,8,High,1,0
5,53,52,54,5,High,1,0
3,70,74,75,8,Low,1,0
7,94,81,59,9,High,0,0
5,87,79,76,7,Low,1,0
9,57,37,78,5,Low,0,0
7,46,30,76,9,High,1,0
2,49,37,47,9,Low,1,0
4,46,58,95,9,Medium,1,0
9,72,34,97,4,Medium,1,0
2,62,76,62,9,High,0,0
9,60,63,65,4,Medium,0,0
5,58,94,48,9,Low,1,0
2,87,84,57,6,Medium,1,0
4,58,72,69,5,High,0,0
7,75,59,44,6,High,0,0
8,68,46,70,9,Low,0,0
3,99,55,68,5,High,0,0
1,57,37,31,5,Medium,1,0
4,41,76,92,7,High,1,0
2,40,75,58,6,Low,0,0
8,86,97,95,7,High,0,0
4,44,62,80,5,Medium,0,0
2,59,30,39,4,Low,0,0
6,50,48,43,5,Medium,0,0
6,81,60,80,7,Low,0,0
4,41,43,68,6,High,1,0
6,42,82,57,9,Low,1,0
2,62,77,32,9,Low,1,0
2,94,98,99,6,High,0,0
4,51,91,56,9,Medium,0,0
8,59,95,31,9,High,0,0
7,44,93,67,7,Low,1,0
9,76,99,32,6,High,0,0
8,77,92,45,8,Low,0,0
5,69,62,69,4,High,1,0
2,48,70,31,4,High,0,0
5,73,77,70,9,Medium,1,0
8,92,42,41,4,Low,1,0
9,83,60,64,6,Medium,0,0
9,74,97,94,6,Low,1,0
1,91,33,84,5,High,0,0
9,97,48,74,5,Low,1,0
7,61,99,91,4,Medium,0,0
9,83,42,78,8,Medium,1,0
8,63,52,54,5,Medium,0,0
1,56,30,52,5,Low,1,0
8,49,83,53,6,Medium,1,0
8,69,44,67,8,Medium,1,0
3,95,94,57,9,Medium,0,0
1,98,44,50,4,High,0,0
8,85,50,83,5,High,1,0
3,62,48,47,8,Low,0,0
3,71,89,65,8,Low,1,0
1,56,62,74,4,Medium,0,0
5,89,78,82,8,High,1,0
7,90,64,59,8,Medium,0,0
9,56,73,89,8,Medium,1,0
7,53,40,61,5,High,1,0
9,48,95,96,4,High,1,0
8,79,75,96,8,High,1,0
2,41,38,57,8,Low,0,0
1,84,32,73,5,Low,1,0
7,64,55,70,4,Medium,0,0
7,78,77,92,6,Low,0,0
8,48,95,52,5,High,1,0
5,93,99,77,4,High,0,0
3,61,57,61,8,Low,0,0
8,82,55,86,4,Medium,0,0
6,85,54,62,4,Medium,1,0
3,43,41,53,9,Low,0,0
1,65,34,68,4,Medium,0,0
3,97,77,63,6,Medium,1,0
5,68,66,85,4,Medium,1,0
3,84,73,57,6,High,0,0
1,73,44,66,8,High,1,0
5,62,72,36,6,Low,0,0
7,76,77,97,8,High,0,0
7,50,99,66,8,Medium,0,0
9,45,75,85,6,High,1,0
3,57,72,94,5,Low,0,0
7,60,50,94,7,High,1,0
1,81,52,76,4,Medium,1,0
4,75,76,49,9,Medium,0,0
4,80,44,48,7,Low,1,0
5,77,54,58,4,High,1,0
7,73,65,89,4,High,1,0
7,56,80,47,8,High,1,0
4,76,44,64,4,Medium,1,0
7,64,97,72,9,Low,0,0
3,77,50,40,4,High,1,0
6,97,42,78,6,Medium,0,0
2,51,48,67,7,Medium,0,0
9,62,63,93,6,Medium,0,0
5,92,97,98,9,High,0,0
6,81,81,37,4,High,0,0
4,61,56,63,9,High,0,0
7,60,58,77,8,High,1,0
9,66,57,85,6,High,1,0
7,96,64,94,6,High,1,0
1,70,37,60,5,High,0,0
1,45,45,33,4,High,1,0
9,66,65,79,8,High,1,0
9,79,59,98,6,Medium,1,0
4,73,47,59,6,High,0,0
9,51,31,88,8,Low,1,0
3,84,78,96,9,Medium,0,0
7,96,33,74,9,High,1,0
6,92,36,33,4,Low,0,0
8,46,68,55,5,High,0,0
9,49,42,56,6,Low,0,0
5,84,60,75,5,Low,1,0
1,56,92,93,9,Low,1,0
3,65,85,80,9,Low,0,0
8,60,71,79,7,Medium,1,0
6,67,90,35,4,Medium,0,0
8,97,71,88,7,Low,0,0
9,85,85,44,7,High,1,0
4,41,65,59,7,Low,1,0
1,99,97,71,4,Medium,1,0
1,93,36,66,4,High,0,0
4,82,83,71,8,Medium,0,0
7,40,30,64,5,Medium,1,0
2,90,73,35,5,High,0,0
3,92,74,97,8,Low,1,0
1,75,76,47,8,Low,0,0
